clean_logit_bias,temperature,synthetic_macro_f1,synthetic_clean_recall,synthetic_adversarial_recall,synthetic_tampered_recall,runtime_camera_clean_fpr,runtime_camera_attack_recall,development_clean_fpr,development_attack_recall,development_clean_fpr_at_camera_floor,development_clean_exposure_span_p95,sem11_false_positive_frames,sem11_false_positive_sessions
0.0,0.6459695336677552,0.9427218424441431,0.9444444444444444,0.9833333333333333,0.9,0.25,1.0,0.34444444444444444,1.0,0.32222222222222224,0.667939767241478,5,1
0.1,0.6459695336677552,0.9483900525958912,0.9666666666666667,0.9777777777777777,0.9,0.1875,1.0,0.3333333333333333,1.0,0.32222222222222224,0.6454030424356461,4,1
0.2,0.6459695336677552,0.9521162851105355,0.9833333333333333,0.9777777777777777,0.8944444444444445,0.1875,1.0,0.3333333333333333,1.0,0.3111111111111111,0.6212925016880035,4,1
0.30000000000000004,0.6459695336677552,0.9521162851105355,0.9833333333333333,0.9777777777777777,0.8944444444444445,0.1875,1.0,0.32222222222222224,1.0,0.3,0.5956852734088898,4,1
0.4,0.6459695336677552,0.9503518119625095,0.9833333333333333,0.9722222222222222,0.8944444444444445,0.1875,1.0,0.32222222222222224,1.0,0.3,0.5686818957328796,4,1
0.5,0.6459695336677552,0.9449026699296463,0.9833333333333333,0.9666666666666667,0.8833333333333333,0.125,1.0,0.32222222222222224,1.0,0.28888888888888886,0.54041488468647,4,1
0.6000000000000001,0.6459695336677552,0.943231669255239,0.9888888888888889,0.9555555555555556,0.8833333333333333,0.125,1.0,0.32222222222222224,1.0,0.28888888888888886,0.5202219933271408,4,1
0.7000000000000001,0.6459695336677552,0.9379429720606192,0.9888888888888889,0.9388888888888889,0.8833333333333333,0.0625,1.0,0.32222222222222224,1.0,0.25555555555555554,0.49943724274635315,4,1
0.8,0.6459695336677552,0.9379429720606192,0.9888888888888889,0.9388888888888889,0.8833333333333333,0.0625,1.0,0.3111111111111111,1.0,0.25555555555555554,0.4781495928764343,3,1
0.9,0.6459695336677552,0.9326396230812687,0.9888888888888889,0.9222222222222223,0.8833333333333333,0.0625,1.0,0.3,1.0,0.25555555555555554,0.4566773772239685,3,1
1.0,0.6459695336677552,0.9308263420389059,0.9888888888888889,0.9222222222222223,0.8777777777777778,0.0625,1.0,0.28888888888888886,1.0,0.25555555555555554,0.4353513866662979,2,0
1.1,0.6459695336677552,0.929010746639665,0.9888888888888889,0.9222222222222223,0.8722222222222222,0.0625,1.0,0.28888888888888886,1.0,0.24444444444444444,0.41449911892414093,2,0
1.2000000000000002,0.6459695336677552,0.9237136210846444,0.9888888888888889,0.9055555555555556,0.8722222222222222,0.0,1.0,0.26666666666666666,1.0,0.24444444444444444,0.3944259285926819,1,0
1.3,0.6459695336677552,0.9201715168921646,0.9888888888888889,0.8944444444444445,0.8722222222222222,0.0,1.0,0.25555555555555554,1.0,0.2222222222222222,0.3753996193408966,0,0
1.4000000000000001,0.6459695336677552,0.9184615497226666,0.9944444444444445,0.8833333333333333,0.8722222222222222,0.0,1.0,0.25555555555555554,1.0,0.2222222222222222,0.3839762806892395,0,0
1.5,0.6459695336677552,0.9131133881978045,0.9944444444444445,0.8722222222222222,0.8666666666666667,0.0,1.0,0.25555555555555554,1.0,0.2111111111111111,0.40268634259700775,0,0
1.6,0.6459695336677552,0.9059822837034339,0.9944444444444445,0.8611111111111112,0.8555555555555555,0.0,1.0,0.25555555555555554,1.0,0.2,0.4221622198820114,0,0
