source,folder,file,official_url,role,rows,sha256
malicious_urls,MALICIOUS_URLS_KAGGLE,ml_training/datasets/semantic/processed/semantic-2026.02/by_source/MALICIOUS_URLS_KAGGLE/MALICIOUS_URLS_KAGGLE_semantic_rows.parquet,https://www.kaggle.com/datasets/sid321axn/malicious-urls-dataset,Kaggle multi-class URL source,632923,6ac4021d520bb72124a27e4242ee4431bfb93dfc8d336806779cec9e6ad978b5
phiusiil,PHIUSIIL_UCI,ml_training/datasets/semantic/processed/semantic-2026.02/by_source/PHIUSIIL_UCI/PHIUSIIL_UCI_semantic_rows.parquet,https://archive.ics.uci.edu/dataset/967/phiusiil+phishing+url+dataset,UCI labelled phishing/benign source,234683,97ff15e2b17b1d7d8919cfbe2156afdbd74e32c58bcbc357edbc28744671635c
semantic_hard_benign,QRGuard_DERIVED_HARD_BENIGN,ml_training/datasets/semantic/processed/semantic-2026.02/by_source/QRGuard_DERIVED_HARD_BENIGN/QRGuard_DERIVED_HARD_BENIGN_semantic_rows.parquet,local://QRGuard/semantic_hard_benign,QRGuard-derived behavioural hard-benign probes,61,083b68e25336cffed96218f2d5f6292572f2e4e10ed6c4318f120e888576cbee
semantic_hard_phish,QRGuard_DERIVED_HARD_PHISH,ml_training/datasets/semantic/processed/semantic-2026.02/by_source/QRGuard_DERIVED_HARD_PHISH/QRGuard_DERIVED_HARD_PHISH_semantic_rows.parquet,local://QRGuard/semantic_hard_phish,QRGuard-derived behavioural hard-phishing probes,24,aa3467798d1f84777bdf8c65c16546b552e734a6664fc7aed78161543ffd51e6
tranco,TRANCO_BENIGN,ml_training/datasets/semantic/processed/semantic-2026.02/by_source/TRANCO_BENIGN/TRANCO_BENIGN_semantic_rows.parquet,https://tranco-list.eu/,research top-site benign augmentation,149998,6dd5e586acfc0796e7552ba68d776600d5d5ff3e822a16e2cd936ada47ebc938
