session_id,case_id,ground_truth,frame_index,crop_sha256,qr_version,module_count,mask_pattern,version_band,payload_length_bin,payload_utf8_bytes,crop_width,crop_height,observed_pixels_per_module,qr_coverage,quadrilateral_side_ratio,exposure_compensation_supported,exposure_compensation_ev,exposure_adjusted_during_session,raw_quality_status,raw_quality_conditions,raw_mean_luminance,raw_p05_luminance,raw_p95_luminance,raw_dynamic_range,raw_laplacian_variance,raw_dark_fraction,raw_bright_fraction,structural_quality_status,structural_mean_luminance,structural_dynamic_range,structural_laplacian_variance,structural_dark_fraction,structural_bright_fraction,payload_decode_status,payload_hash_matches,quality_status,quality_conditions,p_structural_raw,p_structural_effective,structural_type,verdict,risk_score
2d4c95e7762924eccefedb5b,R7B-03-1FA25B,adversarial,0,4be8171f425baf404a006c79a6440cbf5acc32e5a6a5408d9b519011b96056d8,10,57,5,high_v7_plus,long_97_plus,97,492,492,8.631578947368421,0.11626627604166667,1.0537630622647465,True,0.0,False,usable,normal,128.49622564570794,36.42399999999999,216.702,180.27800000000002,3192.4585763307027,0.003208705357142857,0.0,usable,129.1574880620273,180.48999999999998,3224.74885299944,0.003208705357142857,0.0,decoded,True,usable,normal,0.9926306009292603,0.9926306009292603,adversarial,blocked,89
2d4c95e7762924eccefedb5b,R7B-03-1FA25B,adversarial,1,a01b365aa5541c4c8eefcfe1464aae236c12554d0b64bf8d853c75d68417daed,10,57,5,high_v7_plus,long_97_plus,97,553,553,9.701754385964913,0.14733479817708334,1.0626615304194538,True,0.0,False,usable,normal,126.17176430961703,32.861999999999995,216.69,183.828,5181.33396088563,0.002650669642857143,0.0,usable,126.3716433553842,184.171,5197.209755150398,0.002650669642857143,0.0,decoded,True,usable,normal,0.9848182797431946,0.9848182797431946,adversarial,blocked,89
2d4c95e7762924eccefedb5b,R7B-03-1FA25B,adversarial,2,0ca0ecdd45061a646466525d8fc3daa8506bd1e83b2311492e61ea6bd9facd70,10,57,5,high_v7_plus,long_97_plus,97,570,570,10.0,0.156123046875,1.0608663320824978,True,0.0,False,usable,normal,125.64681094545723,33.467,214.73399999999998,181.267,4929.6659213477005,0.001016422193877551,0.0,usable,125.9916503906264,181.84300000000002,4959.753785362788,0.001016422193877551,0.0,decoded,True,usable,normal,0.9898755550384521,0.9898755550384521,adversarial,blocked,89
2d4c95e7762924eccefedb5b,R7B-03-1FA25B,adversarial,3,3b1ad7ecb120d17b4e30e2e712c7430af2c28ef8b49069a2e02f4a2d3deb7d9f,10,57,5,high_v7_plus,long_97_plus,97,579,579,10.157894736842104,0.161339111328125,1.0575688095295603,True,0.0,False,usable,normal,150.56345778857477,60.711999999999996,228.239,167.52700000000002,3949.810507039243,0.0,3.985969387755102e-05,usable,150.80707551417876,167.91975000000002,3954.1279637614452,0.0,3.985969387755102e-05,decoded,True,usable,normal,0.9889937043190002,0.9889937043190002,adversarial,blocked,89
2d4c95e7762924eccefedb5b,R7B-03-1FA25B,adversarial,4,0387ad03b4e9a5dd7a595d6f54023058e29fe6f3f925804f58d608b28534de37,10,57,5,high_v7_plus,long_97_plus,97,569,569,9.982456140350877,0.15596923828125,1.0489416989151839,True,0.0,False,usable,normal,149.93474752868553,60.74249999999999,225.446,164.70350000000002,3757.1247720018423,0.0,0.0,usable,150.24560668446335,164.81099999999998,3764.976634475874,0.0,0.0,decoded,True,usable,normal,0.9912485480308533,0.9912485480308533,adversarial,blocked,89
2ce8a8ea50a535458c06e4de,R7B-04-F9409B,adversarial,0,9b6446027c948fc76257b0a1d40fa6c2c81092145c502fcce19e5900915e0b1f,3,29,2,low_v1_v3,short_1_32,24,504,504,17.379310344827587,0.12221923828125,1.0530692065685925,True,0.0,False,usable,normal,159.43565092868525,49.943,221.549,171.606,679.5778107848326,0.0,0.0,usable,160.1500061782723,172.10174999999998,684.5641585414297,0.0,0.0,decoded,True,usable,normal,0.997541606426239,0.997541606426239,adversarial,blocked,90
2ce8a8ea50a535458c06e4de,R7B-04-F9409B,adversarial,1,eb136de5d6e03d99b9bf929a1d61f8fa19356bd0c6121a73448ba97dbcfff298,3,29,2,low_v1_v3,short_1_32,24,547,547,18.862068965517242,0.14407023111979167,1.0608238130519905,True,0.0,False,usable,normal,145.44361063056982,31.384999999999998,214.72299999999998,183.338,1940.838179955223,0.00011957908163265306,0.0,usable,145.71779884804423,183.914,1948.1546155975898,0.00011957908163265306,0.0,decoded,True,usable,normal,0.9953089952468872,0.9953089952468872,adversarial,blocked,90
2ce8a8ea50a535458c06e4de,R7B-04-F9409B,adversarial,2,f7192b1b65bacaab7b635f005312467b25a8286f4b5d17d39bbb65924990f6d7,3,29,2,low_v1_v3,short_1_32,24,556,556,19.17241379310345,0.1485791015625,1.0598008980881457,True,0.0,False,usable,normal,146.43772357302063,32.385,214.447,182.062,1985.3354339885889,1.992984693877551e-05,0.0,usable,146.7980657485625,182.638,1997.6305981240278,1.992984693877551e-05,0.0,decoded,True,usable,normal,0.9968694448471069,0.9968694448471069,adversarial,blocked,90
2ce8a8ea50a535458c06e4de,R7B-04-F9409B,adversarial,3,dad37bd351f9b29809c3165f3d96c17e36890bbf506afbcd6f76535e960c9fb2,3,29,2,low_v1_v3,short_1_32,24,564,564,19.448275862068964,0.15331787109375,1.056564572906386,True,0.0,False,usable,normal,172.388311005254,70.673,230.56599999999997,159.89299999999997,1398.8510142726407,0.0,1.992984693877551e-05,usable,172.83620296556816,159.93099999999998,1403.8957139729816,0.0,9.964923469387755e-05,decoded,True,usable,normal,0.9967763423919678,0.9967763423919678,adversarial,blocked,90
2ce8a8ea50a535458c06e4de,R7B-04-F9409B,adversarial,4,f7f6456554d476cb4bd5a6f9768c8095cb2eb9cce53153ee86c8377ce0bf70b8,3,29,2,low_v1_v3,short_1_32,24,570,570,19.655172413793103,0.15635416666666666,1.0607257398638175,True,0.0,False,usable,normal,172.58198979590694,71.1565,230.353,159.19650000000001,1417.833727642005,0.0,3.985969387755102e-05,usable,173.04800609854001,159.48449999999997,1424.0334471158947,0.0,9.964923469387755e-05,decoded,True,usable,normal,0.9978920221328735,0.9978920221328735,adversarial,blocked,90
