session_id,case_id,ground_truth,distance,repeat_index,frame_index,crop_sha256,crop_width,crop_height,frame_width,frame_height,qr_coverage,payload_decode_status,payload_hash_matches,quality_status,quality_conditions,p05_luminance,p95_luminance,dynamic_range,laplacian_variance,p_structural_raw,p_structural_effective,structural_type,structural_status,semantic_status,p_url,risk_score,verdict,partial_analysis,elapsed_ms
b8d836748498e45c1373947f,RC-LAYOUT-4470,clean,screen-80,3,4,27d9976546fa784db40c76c436239fe0a98acdebff68cda300fc61f6452d9991,416,416,960.0,1280.0,0.08333333333333333,decoded,True,marginal,overexposure,89.0,232.0,143.0,1154.947265625,0.053071558475494385,0.053071558475494385,clean,completed,not_applicable,,1,safe,False,70
c457f2455469d0160f1f6eec,RC-LAYOUT-4471,clean,screen-80,1,0,0f4e755950fc1ef9a0346498d5427c177360418ce4e16763d5ec11acc2feec83,266,266,960.0,1280.0,0.033956298828125,decoded,True,marginal,overexposure,97.0,236.0,139.0,732.7049560546875,0.5294447541236877,0.5294447541236877,adversarial,completed,not_applicable,,76,blocked,False,60
c457f2455469d0160f1f6eec,RC-LAYOUT-4471,clean,screen-80,1,1,c5e5ea463120094f85c711c4c0688e599ca4bc95073ab31e4ac1e846c6f00f35,275,275,960.0,1280.0,0.03640380859375,decoded,True,marginal,overexposure,97.0,233.0,136.0,594.4108276367188,0.1430700421333313,0.1430700421333313,clean,completed,not_applicable,,2,safe,False,53
c457f2455469d0160f1f6eec,RC-LAYOUT-4471,clean,screen-80,1,2,4157d071c678529656a05f24cf8dd5719292c0a149499dc06619f4870e029bdf,286,286,960.0,1280.0,0.0394775390625,decoded,True,marginal,overexposure,102.0,241.0,139.0,658.3409423828125,0.20789289474487305,0.20789289474487305,clean,completed,not_applicable,,4,safe,False,53
c457f2455469d0160f1f6eec,RC-LAYOUT-4471,clean,screen-80,1,3,adf931851e4e6393e18e08f311177aefeb458c3ffdd3a6dced9c5ca1b22d82e5,287,287,960.0,1280.0,0.03965738932291667,decoded,True,marginal,overexposure,103.0,247.0,144.0,794.041259765625,0.6612580418586731,0.6612580418586731,adversarial,completed,not_applicable,,76,blocked,False,59
c457f2455469d0160f1f6eec,RC-LAYOUT-4471,clean,screen-80,1,4,c66b640a7f1984a0381ee9a7a93c7167404a1c299c0ebca50e7f65319f2c0d22,287,287,960.0,1280.0,0.03974609375,decoded,True,marginal,overexposure,104.0,246.0,142.0,856.0795288085938,0.37150734663009644,0.37150734663009644,clean,completed,not_applicable,,10,safe,False,58
a59fc186097e8c1d3d1060c5,RC-LAYOUT-4471,clean,screen-80,2,0,3229909cced5d2f80e7e9ae1f71c0f8925302298213fe1837dfbfd495732fa0a,287,287,960.0,1280.0,0.03975179036458333,decoded,True,marginal,overexposure,103.0,246.0,143.0,825.8062133789062,0.563401997089386,0.563401997089386,adversarial,completed,not_applicable,,76,blocked,False,59
a59fc186097e8c1d3d1060c5,RC-LAYOUT-4471,clean,screen-80,2,1,7caae8fbd6b6c6f622926f88ab46ac3051d2215af9310749a83924bfa4a77e7c,285,285,960.0,1280.0,0.03903564453125,decoded,True,marginal,overexposure,106.0,251.0,145.0,860.3616333007812,0.7638391256332397,0.7638391256332397,adversarial,completed,not_applicable,,76,blocked,False,58
a59fc186097e8c1d3d1060c5,RC-LAYOUT-4471,clean,screen-80,2,2,83acbe69c61ea45f6b4fb71582de57db17ec6ec70f5e6146d4e16bb329d57c62,285,285,960.0,1280.0,0.03912434895833333,decoded,True,marginal,overexposure,105.0,250.0,145.0,877.9264526367188,0.4435494542121887,0.4435494542121887,clean,completed,not_applicable,,16,safe,False,57
a59fc186097e8c1d3d1060c5,RC-LAYOUT-4471,clean,screen-80,2,3,22cc25cf19a2b9d1089387f75dc823c8ab0d1a4e0e0d400fd2b12bd12efc7fd5,286,286,960.0,1280.0,0.039303792317708336,decoded,True,marginal,overexposure,105.0,250.0,145.0,875.2747192382812,0.4899318814277649,0.4899318814277649,clean,completed,not_applicable,,21,safe,False,59
a59fc186097e8c1d3d1060c5,RC-LAYOUT-4471,clean,screen-80,2,4,5033a569700dee8b5abb70358ae1bf91c76a9712d45fe3cb0743a8350fcea191,285,285,960.0,1280.0,0.03912556966145833,decoded,True,marginal,overexposure,104.0,248.0,144.0,838.2448120117188,0.8805980086326599,0.8805980086326599,adversarial,completed,not_applicable,,79,blocked,False,57
8071ce6cd291c490e08a1cf4,RC-LAYOUT-4471,clean,screen-80,3,0,bd68be87fd8d4538430371ad01b906835e3a8a49cc6d7fa25f2fc3d26fa07af5,285,285,960.0,1280.0,0.03921875,decoded,True,marginal,overexposure,104.0,248.0,144.0,836.23779296875,0.4425041079521179,0.4425041079521179,clean,completed,not_applicable,,16,safe,False,59
8071ce6cd291c490e08a1cf4,RC-LAYOUT-4471,clean,screen-80,3,1,6dbfc4f9d4cede5ba5ca062a9798594dd284d80b2fe967b3c6d7fd97076bcdc5,284,284,960.0,1280.0,0.03886474609375,decoded,True,marginal,overexposure,104.0,249.0,145.0,860.9022216796875,0.844088077545166,0.844088077545166,adversarial,completed,not_applicable,,76,blocked,False,58
8071ce6cd291c490e08a1cf4,RC-LAYOUT-4471,clean,screen-80,3,2,06d7283a657b8bc59e6aacc2cadc5ca6a158fc01d4f003fd751b131f5e39d967,286,286,960.0,1280.0,0.039485270182291664,decoded,True,marginal,overexposure,104.0,248.0,144.0,841.4391479492188,0.7876689434051514,0.7876689434051514,adversarial,completed,not_applicable,,76,blocked,False,51
8071ce6cd291c490e08a1cf4,RC-LAYOUT-4471,clean,screen-80,3,3,30b863aae6d1ac016a77df26386d9f0be576e2634a96a9d018d68fc6240116e2,286,286,960.0,1280.0,0.039306640625,decoded,True,marginal,overexposure,104.0,247.0,143.0,853.3963012695312,0.30440759658813477,0.30440759658813477,clean,completed,not_applicable,,7,safe,False,58
8071ce6cd291c490e08a1cf4,RC-LAYOUT-4471,clean,screen-80,3,4,accaadd34526f1871fec9322f7bb507dd933e9ba87b1fb22d879f8a7fc02d699,285,285,960.0,1280.0,0.039123128255208334,decoded,True,marginal,overexposure,104.0,248.0,144.0,842.7612915039062,0.9691857695579529,0.9691857695579529,adversarial,completed,not_applicable,,88,blocked,False,58
2c29deffa7611999f49490ae,RC-LAYOUT-4472,clean,screen-80,1,0,a8fafd44ad890212915a06a8e0eb469eb6c0ddb273288a2de3496f865adbe24c,296,296,960.0,1280.0,0.0422119140625,decoded,True,marginal,overexposure,91.0,231.0,140.0,303.6709289550781,0.039063453674316406,0.039063453674316406,clean,completed,not_applicable,,1,safe,False,61
2c29deffa7611999f49490ae,RC-LAYOUT-4472,clean,screen-80,1,1,a994430d8617ff85a303682ef4381ad6f3923b5a320a3cf69fbd493777e7549a,298,298,960.0,1280.0,0.04277099609375,decoded,True,marginal,overexposure,103.0,241.0,138.0,736.1993408203125,0.08737766742706299,0.08737766742706299,clean,completed,not_applicable,,2,safe,False,66
2c29deffa7611999f49490ae,RC-LAYOUT-4472,clean,screen-80,1,2,8af5f66d6f2bda7d206e963d6bced94eba2a3d713f5d5b1abb91af43610af357,299,299,960.0,1280.0,0.043050130208333336,decoded,True,marginal,overexposure,106.0,247.0,141.0,944.2345581054688,0.17633354663848877,0.17633354663848877,clean,completed,not_applicable,,3,safe,False,66
