epoch,stage,train_loss,validation_macro_f1,validation_qrdn_clean_fpr,selection_score
1,head,0.5709429351167962,0.8497007149442467,0.0,0.8497007149442467
2,head,0.5075036670754614,0.8313094200107748,0.005555555555555556,0.8313094200107748
3,finetune,0.40146952567940064,0.9121458611851826,0.0,0.9121458611851826
4,finetune,0.31321942440209405,0.9188414225629956,0.0,0.9188414225629956
5,finetune,0.2767616528178078,0.940218144773254,0.0,0.940218144773254
6,finetune,0.2649494331299051,0.9256709269116254,0.0,0.9256709269116254
7,finetune,0.2494394044000237,0.9376132244505785,0.0,0.9376132244505785
